Date,Time,Open,High,Low,Close
14/08/2023,00:00,29303.85000000,29695.32000000,25166.00000000,26189.99000000
21/08/2023,00:00,26190.00000000,26819.27000000,25300.00000000,26101.77000000
28/08/2023,00:00,26101.78000000,28142.85000000,25333.75000000,25971.21000000
04/09/2023,00:00,25971.21000000,26445.50000000,25372.51000000,25841.61000000
11/09/2023,00:00,25841.60000000,26888.00000000,24901.00000000,26527.51000000
18/09/2023,00:00,26527.50000000,27483.57000000,26122.08000000,26248.38000000
25/09/2023,00:00,26248.39000000,28065.51000000,25990.46000000,27992.57000000
02/10/2023,00:00,27992.58000000,28580.00000000,27160.50000000,27917.05000000
09/10/2023,00:00,27917.06000000,27987.93000000,26538.66000000,27154.15000000
16/10/2023,00:00,27154.14000000,30379.99000000,27112.66000000,29992.46000000
23/10/2023,00:00,29992.46000000,35280.00000000,29883.60000000,34525.89000000
30/10/2023,00:00,34525.88000000,35984.99000000,34025.00000000,35011.88000000
06/11/2023,00:00,35011.89000000,37972.24000000,34523.06000000,37064.13000000
13/11/2023,00:00,37064.13000000,37980.00000000,34800.00000000,37359.86000000
20/11/2023,00:00,37359.85000000,38414.00000000,35632.01000000,37447.43000000
27/11/2023,00:00,37447.42000000,40250.00000000,36707.00000000,39972.26000000
04/12/2023,00:00,39972.26000000,44700.00000000,39972.26000000,43789.51000000
11/12/2023,00:00,43789.50000000,43804.50000000,40222.00000000,41374.65000000
18/12/2023,00:00,41374.64000000,44398.26000000,40542.93000000,42991.50000000
25/12/2023,00:00,42991.50000000,43802.32000000,41300.00000000,42283.58000000
01/01/2024,00:00,42283.58000000,45879.63000000,40750.00000000,43929.02000000
08/01/2024,00:00,43929.01000000,48969.48000000,41500.00000000,41732.35000000
15/01/2024,00:00,41732.35000000,43578.01000000,40280.00000000,41580.33000000
22/01/2024,00:00,41580.32000000,42842.68000000,38555.00000000,42031.06000000
29/01/2024,00:00,42031.05000000,43882.36000000,41804.88000000,42582.88000000
05/02/2024,00:00,42582.88000000,48592.66000000,42258.10000000,48299.99000000
12/02/2024,00:00,48300.00000000,52816.62000000,47710.01000000,52137.67000000
19/02/2024,00:00,52137.68000000,52985.00000000,50521.00000000,51728.85000000
26/02/2024,00:00,51728.85000000,64000.00000000,50901.44000000,63113.97000000
04/03/2024,00:00,63113.97000000,69990.00000000,59005.00000000,68955.88000000
11/03/2024,00:00,68955.88000000,73777.00000000,64533.00000000,68393.48000000
18/03/2024,00:00,68393.47000000,68956.00000000,60775.00000000,67209.99000000
25/03/2024,00:00,67210.00000000,71769.54000000,66385.06000000,71280.01000000
01/04/2024,00:00,71280.00000000,71288.23000000,64493.07000000,69360.39000000
08/04/2024,00:00,69360.38000000,72797.99000000,60660.57000000,65661.84000000
15/04/2024,00:00,65661.85000000,66867.07000000,59600.01000000,64941.15000000
22/04/2024,00:00,64941.15000000,67232.35000000,62391.24000000,63681.88000000
